text,class
"Strony zobowiązują się zawrzeć Umowę przyrzeczoną Lokalu do dnia 31.12.2016 r. oraz Umowę Sprzedaży udziału w Garażu w terminie do dnia 31.03.2017 r. , jednak nie wcześniej niż po uprzednim uregulowaniu przez Nabywcę wszystkich jego zobowiązań w stosunku do Dewelopera wynikających z Umowy oraz nie wcześniej niż w terminie 60 dni od dnia uprawomocnienia się decyzji o pozwoleniu na użytkowanie Budynku.",KLAUZULA_ABUZYWNA
"Najemca zobowiązany jest do poinformowania Wynajmującego o każdej szkodzie w terminie do 12 godzin od zdarzenia, z którym związane jest zaistnienie szkody lub uzyskania informacji o szkodzie oraz o ewentualnych roszczeniach innych uczestników zdarzenia",KLAUZULA_ABUZYWNA
2.Koszt usługi rozliczeniowej wynika bezpośrednio z zapisów umowy zawartej między Spółdzielnią a firmą rozliczeniową. 1.Rozliczenie kosztów energii cieplnej c.o. i c.c.w.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
W przypadku nie odebrania zwierzęcia w terminie jaki został przez strony ustalony Fundacja wezwie powierzającego do odbioru psa/kota w terminie 7 dni. Fundacja zastrzega sobie prawo do przekazania zwierzęcia do schroniska w przypadku gdy Powierzający nie odbierze psa/kota po powtórnym wezwaniu do odbioru z zakreślonym kolejnym 7 dniowym terminem.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
Opłaty za usługi edukacyjne,BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Osoby naruszające porządek publiczny lub przepisy niniejszego regulaminu, po uprzednim wezwaniu będą usuwane z terenu obiektu. Osobom takim przysługuje proporcjonalny zwrot wniesionej opłaty.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Odbiór Lokalu obejmuje odbiór Lokalu Garażowego, w zakresie Miejsca postojowego oraz nieruchomości wspólnej i nastąpi po dokonaniu zapłaty przez Nabywcę całej Ceny oraz innych należności wobec Dewelopera wynikających z umów objętych tym aktem.",KLAUZULA_ABUZYWNA
"§7 Świadczeniodawca jest zobowiązany do:  -sprzątania pomieszczenia Pensjonariusza w miarę potrzeb, nie rzadziej niż raz dziennie,",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Jednostką miary energii cieplnej jest Gigadżul [GJ]. k.Powierzchnia grzewcza lokalu - to powierzchnia, w której osiągana jest z instalacji centralnego ogrzewania temperatura zgodna z obowiązującymi przepisami.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
"W przypadku umowy na czas nieokreślony Dom opieki zastrzega sobie prawo podwyższenia raz w roku wysokości miesięcznej opłaty za pobyt pensjonariusza w domu opieki. Podwyższenie wysokości opłaty może nastąpić w przypadku zmiany poziomu inflacji o co najmniej 4%, a zmiana opłaty nie może być wyższa niż zmiana poziomu inflacji. Wskaźnik inflacji publikowany jest przez Główny Urząd Statystyczny. Dom opieki poinformuje pisemnie stronę umowy o wzroście opłaty miesięcznej, przy czym wzrost opłaty może nastąpić najwcześniej od pierwszego dnia miesiąca następującego po miesiącu, w którym nastąpiło powiadomienie. W przypadku braku pisemnej zgody Świadczeniobiorcy na zmianę wysokości opłaty, przedłożoną w terminie 14 dni od daty otrzymania powiadomienia, strony mają prawo do rozwiązania umowy na warunkach wskazanych w par. 7 umowy.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
.urodzonym.w.PESEL .urodzonym.w.PESEL. §2. Zasady organizacji przedszkola oraz rekrutacji dzieci określa Statut Przedszkola (do wglądu u Dyrektora przedszkola i na stronie internetowej: www.przedszkoleprzyszkole.pl) §3.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
spory rozpoznawane będą przez właściwy Sąd powszechny.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Po zakończeniu terminu umownego umowa ulega automatycznemu przedłużeniu na okres kolejnych . miesięcy, o ile konsument przed jej upływem nie złoży przedsiębiorcy pisemnego oświadczenia o rezygnacji z przedłużenia umowy.",KLAUZULA_ABUZYWNA
"Osoby o niestabilnym stanie zdrowia (ze schorzeniami serca, zaburzeniami krążenia), powinny korzystać z atrakcji ze szczególną ostrożnością (lub po konsultacji ze swoim lekarzem). Za skutki zdrowotne przebywania tych osób na basenie administracja Pływalni nie ponosi odpowiedzialności.",KLAUZULA_ABUZYWNA
Abonent ponosi także koszty konfiguracji Terminala i/lub Sprzętu Operatora w zakresie przekraczającym określony w ust.7. Operator może powyższe koszty określić w Cenniku w postaci odpowiednich Opłat Jednorazowych.,BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Nabywca oświadczył, że wyraża zgodę na zawieranie przez spółkę pod firmą: umów o podział nieruchomości wspólnej do używania, których przedmiotem będzie prawo umieszczania przez właścicieli lokali użytkowych z tablicy informacyjnej (szyldu) na elewacji budynku w obrębie danego lokalu: TAK/NIE oraz wyraża zgodę na zawieranie w tym zakresie przez w/w spółkę umów o podział nieruchomości do używania (quoad usum) z pozostałymi współwłaścicielami: TAK/NIE oraz wyraża zgodę na ujawnianie w dziale trzecim księgi wieczystej prowadzonej dla nieruchomości wspólnej roszczeń z tychże umów wynikających: TAK/NIE",BEZPIECZNE_POSTANOWIENIE_UMOWNE
2.Uczeń może być skreślony z listy uczniów' w trybie przewidzianym w ust. 1 w przypadku:  a)naruszenia założeń statutu oraz lekcew'ażenia obowiązków' szkolnych;,BEZPIECZNE_POSTANOWIENIE_UMOWNE
"Za bezpieczeństwo znajdujących się na . odpowiedzialność ponoszą wyłącznie ., oni również sprawują nadzór nad bezpieczeństwem ..",KLAUZULA_ABUZYWNA
. opłata za wydanie duplikatu każdego z dokumentów wzrasta o 50%.,KLAUZULA_ABUZYWNA
Instruktor może odmówić korzystania z atrakcji lub nakazać opuszczenie atrakcji bez podania przyczyny,KLAUZULA_ABUZYWNA
"Jeżeli dziecko w okresie wypowiedzenia umowy, rozpocznie uczęszczanie do innego przedszkola, Rodzic jest zobowiązany opłacić aktualną stawkę dotacji wynikającej z Prawa Oświatowego, będącej dofinansowaniem, czesnego w przedszkolu, która została wkalkulowana w wysokość czesnego, a którą Przedszkole utraci.",BEZPIECZNE_POSTANOWIENIE_UMOWNE
